"Minute.times","Minute.counts","Minute.Temps"
30,7,91.5930687867605
90,10,97.3085995096657
150,7,95.9886462758815
210,4,100.384395156187
270,1,99.98330185484
330,6,102.541261021393
390,23,104.29036852128
450,3,94.7729764436021
510,24,104.865556547676
570,20,103.436592314394
630,7,98.4620873640921
690,45,113.274583090801
750,20,105.983814001185
810,14,108.391199268315
870,6,100.47726255212
930,12,99.3244381748195
990,4,92.7054983378861
1050,13,103.47320436321
1110,2,100.161430131058
1170,12,98.6525258016614
1230,12,100.367624739544
1290,8,91.8779638537422
1350,5,98.6183406465741
1410,25,105.664933825158
1470,4,95.9723750004345
1530,2,91.4198294345112
1590,7,92.975879563329
1650,14,102.942426593235
1710,14,101.585045889496
1770,14,99.3903164986645
1830,2,98.6502257310594
1890,1,98.2042510170211
1950,4,96.6309047889573
2010,8,92.9139641605269
2070,10,95.3320163992122
2130,18,103.667762609446
2190,35,110.082004225015
2250,12,103.415720840337
2310,35,101.508908362733
2370,19,103.056775464156
2430,27,99.442538460676
2490,9,99.3245580018729
2550,8,101.300047594642
2610,5,97.9159849639169
2670,29,106.840938642638
2730,3,100.374999121724
2790,11,104.731321181897
2850,5,90.6602392030374
2910,2,93.6095306711857
2970,18,103.724741264592
3030,22,106.45851396766
3090,1,99.1347317683795
3150,16,105.341187016955
3210,4,97.2673322542837
3270,18,106.943953970332
3330,5,97.4312518414659
3390,9,96.4561979327669
3450,5,101.338847127867
3510,16,100.536366033272
3570,25,106.916872383007
3630,37,98.993004329143
3690,30,108.065147663933
3750,19,105.913771139447
3810,13,98.177134120412
3870,27,104.440376818592
3930,15,99.738591156523
3990,14,103.283138772428
4050,12,97.9966033300617
4110,12,101.003933211329
4170,26,98.5366379816785
4230,13,98.2334190553824
4290,17,105.010003281357
4350,8,96.7532428013456
4410,11,100.339950389065
4470,37,104.540844889851
4530,9,99.8037736971548
4590,4,93.5843314845581
4650,10,97.4046406162303
4710,22,95.0429132873214
4770,15,104.941746452991
4830,25,107.792104666386
4890,7,98.3186477400582
4950,33,110.161643870513
5010,5,98.1152403104261
5070,29,100.300279343622
5130,28,106.050209966168
5190,4,99.6685672860521
5250,3,96.7692826649144
5310,16,105.009054030999
5370,34,111.829020543476
5430,5,96.553249496869
5490,3,96.8896275545587
5550,7,97.6094697238841
5610,7,103.572903834454
5670,4,94.8960119166943
5730,3,88.1750788297164
5790,7,96.8079790447047
5850,4,97.9292735678321
5910,13,99.3787816660427
5970,4,97.8638549686587
6030,8,98.4245302151113
6090,6,96.9809070498369
6150,34,106.498425265778
6210,11,95.5658109180292
6270,16,101.906490226487
6330,26,98.4521179898334
6390,0,NA
6450,15,101.68016569913
6510,23,102.86151247706
6570,5,100.711333589315
6630,18,94.0747761178561
6690,14,98.7977550546982
6750,9,93.7199386346163
6810,3,99.0681253914221
6870,25,93.4272710816178
6930,5,95.0775756451367
6990,1,92.7181295558169
7050,6,101.532634660287
7110,23,104.049048518057
7170,17,97.5526374948264
7230,6,94.956100761034
7290,6,100.209131476492
7350,8,102.413431061574
7410,5,98.9879810827067
7470,15,105.011362441582
7530,12,99.9153659319908
7590,7,98.753530219876
7650,9,99.8641555253496
7710,5,102.310857555156
7770,15,110.306795966891
7830,20,103.045153529934
7890,9,96.9448818995339
7950,4,93.935469443263
8010,15,98.5208521607588
8070,22,103.320433542327
8130,25,103.573405758785
8190,24,108.333342290378
8250,20,96.8059207021522
8310,25,106.170410520287
8370,15,100.365396865779
8430,21,106.187409187629
8490,8,97.9777243898272
8550,36,106.209571794113
8610,16,93.2275064191401
8670,18,105.030999914575
8730,11,98.1426849416112
8790,9,102.164452029571
8850,5,94.5816845174892
8910,14,107.989017239709
8970,12,102.953504146438
9030,3,98.1466360799491
9090,1,90.098588647513
9150,6,105.114982944144
9210,6,100.223555155574
9270,14,106.90893458857
9330,19,98.5678809325905
9390,14,104.081888702108
9450,12,96.4921447809755
9510,8,100.196444283089
9570,5,96.7436019221814
9630,10,98.7879829321825
9690,1,96.5821721635765
9750,3,106.225489477426
9810,2,96.2096919631202
9870,10,101.473483361369
9930,9,91.8439191463978
9990,33,108.140158473188
10050,11,101.609027095617
10110,0,NA
10170,15,99.7464575653195
10230,2,98.8303680334653
10290,21,104.981812308109
10350,2,96.2490091830813
10410,16,101.470257795852
10470,9,97.8015261904178
10530,18,106.636860117595
10590,8,99.0866013689552
10650,2,93.3159311317337
10710,7,102.946664812857
10770,3,94.7231083578907
10830,10,100.448233032209
10890,18,106.934355115377
10950,2,88.503486664879
11010,4,96.6958163607566
11070,9,98.4984215985905
11130,0,NA
11190,7,92.6966479403217
11250,9,97.4322352979325
11310,0,NA
11370,2,91.877403420931
11430,3,101.280091964727
11490,8,95.2387419118983
11550,21,103.652765258755
11610,11,97.4934972913679
11670,7,96.6558293292672
11730,0,NA
11790,11,106.685152208703
11850,40,107.875012508284
11910,14,94.1318670809603
11970,21,101.59796952216
12030,18,101.18515975351
12090,0,NA
12150,40,106.816801844719
12210,7,98.980204751929
12270,10,102.231306535279
12330,1,91.4293451021443
12390,9,97.0097178697289
12450,23,106.223243915724
12510,6,89.3162220459931
12570,21,104.477428031633
12630,20,104.021537706673
12690,16,104.626416287616
12750,1,91.6873666226234
12810,4,92.4198541517769
12870,4,95.0618082530719
12930,41,111.021784020535
12990,17,93.7772733136502
13050,27,105.469964269212
13110,7,98.4014620732616
13170,15,100.276481616196
13230,2,97.988559970466
13290,8,99.3877402871899
13350,24,103.725619315274
13410,15,102.005327607557
13470,21,102.598442318497
13530,7,90.5586309886723
13590,15,101.689930756037
13650,39,111.246100108058
13710,2,95.9194722709779
13770,4,101.485697792163
13830,5,97.9057433746151
13890,14,94.700815592075
13950,0,NA
14010,4,99.8817701118967
14070,21,108.692592787384
14130,2,93.8893930526398
14190,5,101.044289906663
14250,2,94.8396702608083
14310,9,105.47782229846
14370,10,100.347350602307
14430,15,102.997738249615
14490,8,100.224622633178
14550,9,98.5225135475692
14610,10,98.242837643618
14670,3,99.5638298225948
14730,4,102.742697579255
14790,24,103.438641792825
14850,8,96.4593590806467
14910,0,NA
14970,9,103.061706478953
